DIMENSION1,TS_PERIOD,TS_VALUE
CVM,1997Q1,43298.95875
CVM,1997Q2,72516.16723
CVM,1997Q3,71539.32869
CVM,1997Q4,21096.51236
CVM,1998Q1,3490.033064
CVM,1998Q2,8239.950235
CVM,1998Q3,2370.291277
CVM,1998Q4,7816.363031
CVM,1999Q1,6429.458159
CVM,1999Q2,6690.0433
CVM,1999Q3,13876.16059
CVM,1999Q4,44877.64349
CVM,2000Q1,4260.275019
CVM,2000Q2,2962.269582
CVM,2000Q3,4280.645849
CVM,2000Q4,8416.524743
CVM,2001Q1,228.9764022
CVM,2001Q2,42.49778362
CVM,2001Q3,300.1005933
CVM,2001Q4,3964.338919
CVM,2002Q1,262.7541468
CVM,2002Q2,951.2684443
CVM,2002Q3,28.03999928
CVM,2002Q4,41.87404662
CVM,2003Q1,590.4388483
CVM,2003Q2,610.5933089
CVM,2003Q3,875.8107704
CVM,2003Q4,549.8769447
CVM,2004Q1,307.5925501
CVM,2004Q2,1243.992231
CVM,2004Q3,2174.543109
CVM,2004Q4,2330.117683
CVM,2005Q1,456.4809312
CVM,2005Q2,406.8540642
CVM,2005Q3,341.4614453
CVM,2005Q4,698.9504707
CVM,2006Q1,8277.792648
CVM,2006Q2,1380.561523
CVM,2006Q3,701.8827379
CVM,2006Q4,1246.846982
CVM,2007Q1,423.8468918
CVM,2007Q2,353.3841227
CVM,2007Q3,621.5301904
CVM,2007Q4,624.1871155
CVM,2008Q1,101.2487045
CVM,2008Q2,61.99951367
CVM,2008Q3,121.629449
CVM,2008Q4,203.7591407
CVM,2009Q1,30.95384032
CVM,2009Q2,58.58226267
CVM,2009Q3,33.54085442
CVM,2009Q4,48.12497737
CVM,2010Q1,10.32068996
CVM,2010Q2,48.67019658
CVM,2010Q3,47.67423553
CVM,2010Q4,134.5269665
CVM,2011Q1,9.941778027
CVM,2011Q2,4.45707575
CVM,2011Q3,6.714550842
CVM,2011Q4,65.12137817
CVM,2012Q1,45.21027676
CVM,2012Q2,8.879647853
CVM,2012Q3,15.0447894
CVM,2012Q4,18.88115056
CVM,2013Q1,2.127849076
CVM,2013Q2,8.616841013
CVM,2013Q3,13.34199073
CVM,2013Q4,7.007852726
CVM,2014Q1,6.875378759
CVM,2014Q2,2.60917993
CVM,2014Q3,0.284143944
CVM,2014Q4,3.261432001
CVM,2015Q1,0.822817981
CVM,2015Q2,0.72428156
CVM,2015Q3,0.296998869
CVM,2015Q4,0.315277524
CVM,2016Q1,0.887623615
CVM,2016Q2,0.467173465
CVM,2016Q3,0.349824378
CVM,2016Q4,0.458589773
CVM,2017Q1,0.269139542
CVM,2017Q2,0.142980779
CVM,2017Q3,0.024229909
CVM,2017Q4,0.059332723
CVM,2018Q1,0.421907436
CVM,2018Q2,0.057138062
CVM,2018Q3,0.048847786
CVM,2018Q4,0.391466309
CVM,2019Q1,0.068847785
CVM,2019Q2,0.285676573
CVM,2019Q3,0.085905297
CVM,2019Q4,0.08157621
CVM,2020Q1,0.41099043
CVM,2020Q2,0.240428035
CVM,2020Q3,0.10236023
CVM,2020Q4,0.138274741
CVM,2021Q1,0.105680538
CVM,2021Q2,0.244684024
