DIMENSION1,TS_PERIOD,TS_VALUE
CVM,1997,208450.967
CVM,1998,21916.63761
CVM,1999,71873.30554
CVM,2000,19919.71519
CVM,2001,4535.913698
CVM,2002,1283.936637
CVM,2003,2626.719872
CVM,2004,6056.245573
CVM,2005,1903.746911
CVM,2006,11607.08389
CVM,2007,2022.94832
CVM,2008,488.6368079
CVM,2009,171.2019348
CVM,2010,241.1920886
CVM,2011,86.23478279
CVM,2012,88.01586457
CVM,2013,31.09453355
CVM,2014,13.03013463
CVM,2015,2.159375934
CVM,2016,2.163211231
CVM,2017,0.495682953
CVM,2018,0.919359593
CVM,2019,0.522005865
CVM,2020,0.892053436
